throttle,clutch,wheelAngularSpeed,t_feedback,t_eng,t_loss,t_flywheel,flywheelAngularSpeed,torqueOut,timestamp:1430988030
0.75,0.5,0.00472941,0.000472941,0,-0.00308337,0.00261042,-0.015416,0.0302181,
0.75,0.5,0.00482856,0.000482856,0,-0.00308319,0.00260034,-0.0154151,0.0303655,
0.75,0.5,0.00492817,0.000492817,0,-0.00308302,0.0025902,-0.0154142,0.0305136,
0.75,0.5,0.00502824,0.000502824,0,-0.00308285,0.00258002,-0.0154134,0.0306624,
0.75,0.5,0.00512877,0.000512877,0,-0.00308267,0.0025698,-0.0154125,0.0308119,
0.75,0.5,0.00522977,0.000522977,0,-0.0030825,0.00255953,-0.0154117,0.0309621,
0.75,0.5,0.00533123,0.000533123,0,-0.00308233,0.00254921,-0.0154108,0.0311131,
0.75,0.5,0.00543317,0.000543317,0,-0.00308216,0.00253884,-0.01541,0.0312647,
0.75,0.5,0.00553557,0.000553557,0,-0.00308199,0.00252844,-0.0154091,0.031417,
0.75,0.5,0.00563845,0.000563845,0,-0.00308182,0.00251798,-0.0154083,0.0315701,
0.75,0.5,0.0057418,0.00057418,0,-0.00308166,0.00250748,-0.0154074,0.0317239,
0.75,0.5,0.00584563,0.000584563,0,-0.00308149,0.00249693,-0.0154066,0.0318784,
0.75,0.5,0.00594995,0.000594995,0,-0.00308132,0.00248633,-0.0154058,0.0320336,
0.75,0.5,0.00605474,0.000605474,0,-0.00308116,0.00247568,-0.015405,0.0321895,
0.75,0.5,0.00616002,0.000616002,0,-0.00308099,0.00246499,-0.0154041,0.0323462,
0.75,0.5,0.00626579,0.000626579,0,-0.00308083,0.00245425,-0.0154033,0.0325037,
0.75,0.5,0.00637205,0.000637205,0,-0.00308066,0.00244346,-0.0154025,0.0326618,
0.75,0.5,0.0064788,0.00064788,0,-0.0030805,0.00243262,-0.0154017,0.0328207,
0.75,0.5,0.00658604,0.000658604,0,-0.00308034,0.00242173,-0.0154009,0.0329804,
0.75,0.5,0.00669378,0.000669378,0,-0.00308018,0.0024108,-0.0154001,0.0331408,
0.75,0.5,0.00680202,0.000680202,0,-0.00308002,0.00239981,-0.0153993,0.0333019,
0.75,0.5,0.00691075,0.000691075,0,-0.00307986,0.00238878,-0.0153985,0.0334639,
0.75,0.5,0.00702,0.000702,0,-0.0030797,0.0023777,-0.0153977,0.0336265,
0.75,0.5,0.00712975,0.000712975,0,-0.00307954,0.00236656,-0.0153969,0.03379,
0.75,0.5,0.00724,0.000724,0,-0.00307938,0.00235538,-0.0153961,0.0339542,
0.75,0.5,0.00735077,0.000735077,0,-0.00307922,0.00234415,-0.0153953,0.0341192,
0.75,0.5,0.00746205,0.000746205,0,-0.00307907,0.00233286,-0.0153946,0.0342849,
0.75,0.5,0.00757385,0.000757385,0,-0.00307891,0.00232153,-0.0153938,0.0344514,
0.75,0.5,0.00768616,0.000768616,0,-0.00307876,0.00231014,-0.015393,0.0346188,
0.75,0.5,0.00779899,0.000779899,0,-0.0030786,0.0022987,-0.0153922,0.0347869,
0.75,0.5,0.00791235,0.000791235,0,-0.00307845,0.00228722,-0.0153915,0.0349558,
0.75,0.5,0.00802623,0.000802623,0,-0.0030783,0.00227567,-0.0153907,0.0351254,
0.75,0.5,0.00814064,0.000814064,0,-0.00307815,0.00226408,-0.01539,0.0352959,
0.75,0.5,0.00825558,0.000825558,0,-0.00307799,0.00225244,-0.0153892,0.0354672,
0.75,0.5,0.00837105,0.000837105,0,-0.00307784,0.00224074,-0.0153885,0.0356393,
0.75,0.5,0.00848706,0.000848706,0,-0.0030777,0.00222899,-0.0153877,0.0358122,
0.75,0.5,0.0086036,0.00086036,0,-0.00307755,0.00221719,-0.015387,0.0359859,
0.75,0.5,0.00872069,0.000872069,0,-0.0030774,0.00220533,-0.0153863,0.0361604,
0.75,0.5,0.00883832,0.000883832,0,-0.00307725,0.00219342,-0.0153855,0.0363358,
0.75,0.5,0.00895649,0.000895649,0,-0.00307711,0.00218146,-0.0153848,0.0365119,
0.75,0.5,0.00907521,0.000907521,0,-0.00307696,0.00216944,-0.0153841,0.0366889,
0.75,0.5,0.00919448,0.000919448,0,-0.00307682,0.00215737,-0.0153834,0.0368668,
0.75,0.5,0.00931431,0.000931431,0,-0.00307667,0.00214524,-0.0153826,0.0370454,
0.75,0.5,0.00943469,0.000943469,0,-0.00307653,0.00213306,-0.0153819,0.0372249,
0.75,0.5,0.00955562,0.000955562,0,-0.00307639,0.00212082,-0.0153812,0.0374053,
0.75,0.5,0.00967712,0.000967712,0,-0.00307625,0.00210853,-0.0153805,0.0375865,
0.75,0.5,0.00979919,0.000979919,0,-0.0030761,0.00209619,-0.0153798,0.0377685,
0.75,0.5,0.00992182,0.000992182,0,-0.00307596,0.00208378,-0.0153791,0.0379514,
0.75,0.5,0.010045,0.0010045,0,-0.00307583,0.00207132,-0.0153784,0.0381352,
0.75,0.5,0.0101688,0.00101688,0,-0.00307569,0.00205881,-0.0153778,0.0383198,
0.75,0.5,0.0102931,0.00102931,0,-0.00307555,0.00204624,-0.0153771,0.0385053,
0.75,0.5,0.010418,0.0010418,0,-0.00307541,0.00203361,-0.0153764,0.0386917,
0.75,0.5,0.0105435,0.00105435,0,-0.00307528,0.00202092,-0.0153757,0.0388789,
0.75,0.5,0.0106696,0.00106696,0,-0.00307514,0.00200818,-0.015375,0.039067,
0.75,0.5,0.0107963,0.00107963,0,-0.00307501,0.00199538,-0.0153744,0.039256,
0.75,0.5,0.0109235,0.00109235,0,-0.00307488,0.00198252,-0.0153737,0.0394459,
0.75,0.5,0.0110514,0.00110514,0,-0.00307474,0.00196961,-0.0153731,0.0396367,
0.75,0.5,0.0111798,0.00111798,0,-0.00307461,0.00195663,-0.0153724,0.0398284,
0.75,0.5,0.0113089,0.00113089,0,-0.00307448,0.0019436,-0.0153718,0.040021,
0.75,0.5,0.0114385,0.00114385,0,-0.00307435,0.0019305,-0.0153711,0.0402144,
0.75,0.5,0.0115687,0.00115687,0,-0.00307422,0.00191735,-0.0153705,0.0404088,
0.75,0.5,0.0116996,0.00116996,0,-0.0030741,0.00190414,-0.0153698,0.0406041,
0.75,0.5,0.011831,0.0011831,0,-0.00307397,0.00189087,-0.0153692,0.0408004,
0.75,0.5,0.0119631,0.00119631,0,-0.00307384,0.00187754,-0.0153686,0.0409975,
0.75,0.5,0.0120957,0.00120957,0,-0.00307372,0.00186414,-0.015368,0.0411956,
0.75,0.5,0.012229,0.0012229,0,-0.00307359,0.00185069,-0.0153674,0.0413946,
0.75,0.5,0.0123629,0.00123629,0,-0.00307347,0.00183718,-0.0153667,0.0415945,
0.75,0.5,0.0124975,0.00124975,0,-0.00307335,0.0018236,-0.0153661,0.0417954,
